🔄 Update 500 | Reward: 1.806±0.132 | Lat: 1635.3±100.5 | Eng: 558.8±0.5 | JFI: 0.848 | Rate: 489123657.7 | Col: 0 | Bnd: 413 | Time: 18122.44s
🔄 Update 510 | Reward: 0.899±0.862 | Lat: 2427.4±536.3 | Eng: 550.0±20.3 | JFI: 0.726 | Rate: 427731883.3 | Col: 2 | Bnd: 261 | Time: 18454.29s
🔄 Update 520 | Reward: 0.319±1.206 | Lat: 2793.5±760.8 | Eng: 532.6±37.0 | JFI: 0.647 | Rate: 407132281.3 | Col: 6 | Bnd: 316 | Time: 18772.52s
🔄 Update 530 | Reward: 1.267±0.812 | Lat: 2009.5±625.5 | Eng: 548.6±27.6 | JFI: 0.775 | Rate: 452227329.4 | Col: 2 | Bnd: 774 | Time: 19148.00s
🔄 Update 540 | Reward: 1.758±0.117 | Lat: 1591.6±67.2 | Eng: 558.8±0.6 | JFI: 0.845 | Rate: 475890290.7 | Col: 0 | Bnd: 682 | Time: 19525.20s
🔄 Update 550 | Reward: 1.049±1.076 | Lat: 2215.6±753.0 | Eng: 532.0±38.8 | JFI: 0.746 | Rate: 420685126.9 | Col: 6 | Bnd: 302 | Time: 19858.43s
🔄 Update 560 | Reward: 1.741±0.143 | Lat: 1692.0±94.8 | Eng: 551.7±22.0 | JFI: 0.845 | Rate: 453430809.0 | Col: 2 | Bnd: 795 | Time: 20226.30s
🔄 Update 570 | Reward: 1.495±0.841 | Lat: 1912.9±543.6 | Eng: 554.5±11.1 | JFI: 0.807 | Rate: 432984102.9 | Col: 2 | Bnd: 344 | Time: 20580.18s
🔄 Update 580 | Reward: 1.763±0.106 | Lat: 1669.7±41.8 | Eng: 558.3±0.7 | JFI: 0.846 | Rate: 458344906.1 | Col: 0 | Bnd: 953 | Time: 20953.11s
🔄 Update 590 | Reward: 1.727±0.110 | Lat: 1689.4±63.2 | Eng: 556.9±0.6 | JFI: 0.840 | Rate: 458582697.9 | Col: 0 | Bnd: 664 | Time: 21327.18s
🔄 Update 600 | Reward: 1.802±0.051 | Lat: 1636.3±55.0 | Eng: 556.5±0.6 | JFI: 0.848 | Rate: 464099490.1 | Col: 0 | Bnd: 380 | Time: 21709.68s
🔄 Update 610 | Reward: 1.587±0.529 | Lat: 1806.8±362.7 | Eng: 555.8±0.8 | JFI: 0.819 | Rate: 451262768.5 | Col: 0 | Bnd: 208 | Time: 22106.66s
🔄 Update 620 | Reward: 1.689±0.900 | Lat: 1840.0±561.7 | Eng: 555.0±1.0 | JFI: 0.831 | Rate: 440813465.2 | Col: 0 | Bnd: 238 | Time: 22497.82s
🔄 Update 630 | Reward: 1.690±0.816 | Lat: 1769.6±534.8 | Eng: 554.2±0.8 | JFI: 0.833 | Rate: 451662245.3 | Col: 0 | Bnd: 183 | Time: 22906.75s
🔄 Update 640 | Reward: 1.545±0.836 | Lat: 1792.7±546.7 | Eng: 554.7±1.1 | JFI: 0.816 | Rate: 458815518.2 | Col: 0 | Bnd: 474 | Time: 23318.89s
🔄 Update 650 | Reward: 1.849±0.087 | Lat: 1574.5±35.3 | Eng: 555.2±0.6 | JFI: 0.857 | Rate: 455845203.1 | Col: 0 | Bnd: 447 | Time: 23746.24s
🔄 Update 660 | Reward: 1.957±0.049 | Lat: 1627.3±38.1 | Eng: 554.8±0.7 | JFI: 0.869 | Rate: 438484083.9 | Col: 0 | Bnd: 193 | Time: 24172.98s
🔄 Update 670 | Reward: 1.795±0.125 | Lat: 1665.5±65.3 | Eng: 553.4±0.9 | JFI: 0.852 | Rate: 457202872.3 | Col: 0 | Bnd: 584 | Time: 24593.00s
🔄 Update 680 | Reward: 1.605±0.121 | Lat: 1824.9±178.6 | Eng: 533.8±38.8 | JFI: 0.829 | Rate: 444910823.8 | Col: 4 | Bnd: 1504 | Time: 24994.45s
🔄 Update 690 | Reward: 1.593±0.087 | Lat: 1787.0±82.2 | Eng: 550.3±1.4 | JFI: 0.830 | Rate: 455811948.0 | Col: 2 | Bnd: 2022 | Time: 25408.22s
🔄 Update 700 | Reward: 1.672±0.074 | Lat: 1607.2±69.6 | Eng: 550.2±0.5 | JFI: 0.838 | Rate: 460506206.8 | Col: 0 | Bnd: 1533 | Time: 25839.36s
🔄 Update 710 | Reward: 1.725±0.090 | Lat: 1592.2±60.4 | Eng: 549.3±1.1 | JFI: 0.842 | Rate: 459241133.7 | Col: 0 | Bnd: 938 | Time: 26267.84s
🔄 Update 720 | Reward: 1.872±0.087 | Lat: 1575.9±69.1 | Eng: 548.5±0.6 | JFI: 0.861 | Rate: 437804869.3 | Col: 0 | Bnd: 347 | Time: 26711.47s
🔄 Update 730 | Reward: 1.890±0.060 | Lat: 1540.1±37.6 | Eng: 549.1±0.6 | JFI: 0.862 | Rate: 434255840.2 | Col: 0 | Bnd: 279 | Time: 27133.20s
🔄 Update 740 | Reward: 1.812±0.071 | Lat: 1589.9±130.5 | Eng: 538.9±32.2 | JFI: 0.853 | Rate: 428819454.6 | Col: 2 | Bnd: 451 | Time: 27550.29s
🔄 Update 750 | Reward: 1.743±0.068 | Lat: 1596.8±40.9 | Eng: 549.4±0.5 | JFI: 0.845 | Rate: 444616059.7 | Col: 0 | Bnd: 1191 | Time: 27955.86s
🔄 Update 760 | Reward: 1.699±0.080 | Lat: 1595.0±37.0 | Eng: 548.0±0.6 | JFI: 0.840 | Rate: 453319336.7 | Col: 0 | Bnd: 1477 | Time: 28367.32s
🔄 Update 770 | Reward: 1.728±0.082 | Lat: 1611.0±41.0 | Eng: 546.5±0.5 | JFI: 0.841 | Rate: 449362487.9 | Col: 0 | Bnd: 1255 | Time: 28785.58s
🔄 Update 780 | Reward: 1.789±0.064 | Lat: 1732.6±137.4 | Eng: 536.5±32.3 | JFI: 0.850 | Rate: 428996050.8 | Col: 2 | Bnd: 509 | Time: 29198.09s
🔄 Update 790 | Reward: 1.712±0.065 | Lat: 1619.3±58.6 | Eng: 546.5±1.1 | JFI: 0.841 | Rate: 450855601.2 | Col: 0 | Bnd: 1478 | Time: 29643.16s
🔄 Update 800 | Reward: 1.752±0.146 | Lat: 1617.3±109.6 | Eng: 546.3±0.6 | JFI: 0.849 | Rate: 444726914.3 | Col: 0 | Bnd: 911 | Time: 30067.14s
🔄 Update 810 | Reward: 1.762±0.082 | Lat: 1566.7±50.7 | Eng: 546.2±0.5 | JFI: 0.847 | Rate: 454486845.2 | Col: 0 | Bnd: 1288 | Time: 30503.32s
🔄 Update 820 | Reward: 1.823±0.100 | Lat: 1603.4±59.1 | Eng: 544.7±0.4 | JFI: 0.853 | Rate: 438017497.3 | Col: 0 | Bnd: 869 | Time: 30927.96s
🔄 Update 830 | Reward: 1.573±0.077 | Lat: 1760.7±65.7 | Eng: 543.1±0.6 | JFI: 0.823 | Rate: 449355544.9 | Col: 0 | Bnd: 1674 | Time: 31345.45s
🔄 Update 840 | Reward: 1.451±0.093 | Lat: 1741.3±60.5 | Eng: 541.6±0.6 | JFI: 0.813 | Rate: 466501814.0 | Col: 0 | Bnd: 3301 | Time: 31762.48s
🔄 Update 850 | Reward: 1.629±0.102 | Lat: 1674.5±62.4 | Eng: 542.0±0.5 | JFI: 0.830 | Rate: 453681842.7 | Col: 0 | Bnd: 1485 | Time: 32188.21s
🔄 Update 860 | Reward: 1.722±0.105 | Lat: 1644.8±65.9 | Eng: 542.6±0.5 | JFI: 0.838 | Rate: 456664579.7 | Col: 0 | Bnd: 865 | Time: 32622.79s
🔄 Update 870 | Reward: 1.610±0.075 | Lat: 1649.1±65.8 | Eng: 542.5±0.8 | JFI: 0.828 | Rate: 470346269.1 | Col: 0 | Bnd: 1426 | Time: 33042.96s
🔄 Update 880 | Reward: 1.621±0.092 | Lat: 1688.2±83.1 | Eng: 536.1±18.6 | JFI: 0.832 | Rate: 467470020.4 | Col: 2 | Bnd: 862 | Time: 33449.72s
🔄 Update 890 | Reward: 1.611±0.140 | Lat: 1723.0±74.7 | Eng: 541.6±0.7 | JFI: 0.826 | Rate: 460410733.1 | Col: 0 | Bnd: 1030 | Time: 33860.95s
🔄 Update 900 | Reward: 1.743±0.075 | Lat: 1651.1±37.0 | Eng: 542.2±0.7 | JFI: 0.841 | Rate: 462993936.1 | Col: 0 | Bnd: 640 | Time: 34266.41s
🔄 Update 910 | Reward: 1.701±0.109 | Lat: 1602.6±63.7 | Eng: 542.1±0.6 | JFI: 0.838 | Rate: 469969621.7 | Col: 0 | Bnd: 955 | Time: 34680.81s
🔄 Update 920 | Reward: 1.719±0.131 | Lat: 1586.0±49.4 | Eng: 541.1±0.9 | JFI: 0.841 | Rate: 460026651.6 | Col: 0 | Bnd: 959 | Time: 35092.19s
🔄 Update 930 | Reward: 1.706±0.112 | Lat: 1603.7±53.7 | Eng: 539.9±0.3 | JFI: 0.837 | Rate: 443324066.4 | Col: 0 | Bnd: 498 | Time: 35511.49s
🔄 Update 940 | Reward: 1.688±0.184 | Lat: 1613.2±115.3 | Eng: 538.8±0.5 | JFI: 0.836 | Rate: 451678887.9 | Col: 0 | Bnd: 657 | Time: 35929.36s
🔄 Update 950 | Reward: 1.450±0.824 | Lat: 1874.2±545.2 | Eng: 537.7±1.6 | JFI: 0.804 | Rate: 433638539.0 | Col: 0 | Bnd: 435 | Time: 36337.62s
🔄 Update 960 | Reward: 1.046±1.339 | Lat: 2278.0±813.7 | Eng: 535.6±2.0 | JFI: 0.746 | Rate: 405629945.6 | Col: 0 | Bnd: 355 | Time: 36722.58s
🔄 Update 970 | Reward: 1.601±0.420 | Lat: 1754.8±289.6 | Eng: 535.8±0.7 | JFI: 0.821 | Rate: 444010162.7 | Col: 0 | Bnd: 614 | Time: 37141.12s
🔄 Update 980 | Reward: 1.652±0.110 | Lat: 1612.0±48.1 | Eng: 537.0±0.7 | JFI: 0.832 | Rate: 455638667.3 | Col: 0 | Bnd: 1676 | Time: 37562.50s
🔄 Update 990 | Reward: 1.564±0.144 | Lat: 1712.3±118.8 | Eng: 536.3±0.6 | JFI: 0.821 | Rate: 444053634.6 | Col: 0 | Bnd: 1420 | Time: 37979.08s
🔄 Update 1000 | Reward: 1.527±0.070 | Lat: 1691.8±57.8 | Eng: 536.2±0.5 | JFI: 0.822 | Rate: 457163912.7 | Col: 0 | Bnd: 2554 | Time: 38394.41s
